"S010284","35803870"
"S010285","22177258"
"S010286","35824598"
"S010287","35834728"
"S010288","35916466"
"S010289","29215771"
"S010290","36017610"
"S010291","11130569"
"S010292","24459622"
"S010293","35893765"
"S010294","36016989"
"S010295","16974430"
"S010296","27116599"
"S010297","34946589"
"S010298","20357166"
"S010299","35842325"
"S010300","16745430"
"S010301","36077643"
"S010302","36051759"
"S010303","36039007"
"S010304","35710822"
"S010305","36152443"
"S010306","12724943"
"S010307","36191734"
"S010308","23046535"
"S010310","34447330"
"S010311","34596287"
"S010312","34602409"
"S010313","34640759"
"S010314","27138962"
"S010315","34753136"
"S010316","21043554"
"S010317","34813658"
"S010318","23908905"
"S010319","20002954"
"S010320","20309996"
"S010321","12415263"
"S010322","30959824"
"S010323","36066155"
"S010325","36674246"
"S010326","35053442"
"S010327","31661081"
"S010328","31976101"
"S010329","37462408"
"S010330","36351466"
"S010332","23641598"
"S010333","36425956"
"S010334","31037176"
"S010335","18188653"
"S010336","36487079"
"S010337","35566272"
"S010338","36684421"
"S010339","16128530"
"S010340","36761450"
"S010342","22152336"
"S010343","29141010"
"S010344","12890578"
"S010345","15891479"
"S010346","37130143"
"S010347","37136002"
"S010348","37311238"
"S010349","37283218"
"S010350","36954531"
"S010351","36730494"
"S010352","37393805"
"S010354","35165198"
"S010355","37502560"
"S010356","37635585"
"S010358","36609994"
"S010359","36155682"
"S010361","25392816"
"S010362","37138875"
"S010363","37719421"
"S010364","37753375"
"S010365","25690332"
"S010366","32569140"
"S010368","10592227"
"S010369","25339769"
"S010370","15610726"
"S010371","16711576"
"S010372","14536399"
"S010373","20395423"
"S010374","19147268"
"S010375","38182938"
"S010376","38245459"
"S010377","38296363"
"S010378","20047229"
"S010379","38350298"
"S010380","38062685"
"S010381","21753990"
