35147626,"AM010255"
27893252,"AM010256"
23192229,"AM010257"
15023238,"AM010258"
34759406,"AM010259"
35354859,"AM010260"
35388535,"AM010261"
35218061,"AM010262"
17414816,"AM010263"
35414960,"AM010264"
35347116,"AM010265"
35410999,"AM010266"
35309873,"AM010267"
35441645,"AM010268"
35494461,"AM010269"
35519649,"AM010270"
35478995,"AM010271"
29478541,"AM010272"
35592271,"AM010273"
31283513,"AM010274"
35758684,"AM010275"
15815468,"AM010276"
35835668,"AM010277"
33572202,"AM010278"
35833453,"AM010279"
35849869,"AM010280"
29064517,"AM010281"
35848741,"AM010282"
35845317,"AM010283"
35904906,"AM010284"
35784739,"AM010285"
20911197,"AM010286"
17249283,"AM010287"
35916327,"AM010288"
35951180,"AM010289"
35949358,"AM010290"
32443736,"AM010291"
35966601,"AM010292"
36000869,"AM010293"
28309495,"AM010294"
14830060,"AM010295"
36011489,"AM010296"
35840761,"AM010297"
12102132,"AM010298"
36026311,"AM010299"
36052714,"AM010300"
35957335,"AM010301"
33422585,"AM010302"
36077807,"AM010303"
36080168,"AM010304"
13855903,"AM010305"
23848678,"AM010306"
36097661,"AM010307"
35823317,"AM010308"
36112995,"AM010309"
36101887,"AM010310"
20767059,"AM010311"
16899971,"AM010312"
36026993,"AM010313"
36084641,"AM010314"
22915791,"AM010315"
36157099,"AM010316"
18046285,"AM010317"
36231733,"AM010318"
36296987,"AM010319"
36332232,"AM010320"
36333242,"AM010321"
36415632,"AM010322"
36421327,"AM010323"
36460827,"AM010324"
12950355,"AM010325"
26780911,"AM010326"
36324558,"AM010327"
20761082,"AM010328"
11212555,"AM010329"
36577383,"AM010330"
36574810,"AM010331"
36567968,"AM010332"
12965054,"AM010333"
31830267,"AM010334"
36615209,"AM010335"
36632095,"AM010336"
36545588,"AM010337"
33970457,"AM010338"
36652385,"AM010339"
36706763,"AM010340"
36582981,"AM010341"
33167787,"AM010342"
23576081,"AM010343"
24438810,"AM010344"
36700811,"AM010345"
12124341,"AM010346"
27729755,"AM010347"
36813452,"AM010348"
36986002,"AM010349"
36729177,"AM010350"
30762330,"AM010351"
19667731,"AM010352"
30551655,"AM010353"
18701366,"AM010354"
17870175,"AM010355"
36062139,"AM010356"
32829284,"AM010357"
13928212,"AM010358"
24764425,"AM010359"
37389767,"AM010360"
37421212,"AM010361"
37299547,"AM010362"
37477981,"AM010363"
37476267,"AM010364"
24895545,"AM010365"
37524623,"AM010366"
37530628,"AM010367"
18698073,"AM010368"
20755809,"AM010369"
37499695,"AM010370"
33506560,"AM010371"
37578295,"AM010372"
37551788,"AM010373"
15972316,"AM010374"
37501480,"AM010375"
17832591,"AM010376"
37616654,"AM010377"
37601272,"AM010378"
37642608,"AM010379"
20627649,"AM010380"
19254515,"AM010381"
37714394,"AM010382"
18611069,"AM010383"
37719368,"AM010384"
13972620,"AM010385"
37734608,"AM010386"
37760739,"AM010387"
27565115,"AM010388"
37403896,"AM010389"
37802176,"AM010390"
30285237,"AM010391"
37853181,"AM010392"
14409048,"AM010393"
37906218,"AM010394"
37734398,"AM010395"
37943589,"AM010396"
37709246,"AM010397"
19349901,"AM010398"
